"ident","icao","name","latitude","longitude","iapExists"
"1Q5","","Gravelly Valley","39.45072222","-122.9546111","0"
"VCB","KVCB","Nut Tree","38.37822222","-121.9611944","1"
"VNY","KVNY","Van Nuys","34.20980556","-118.4899722","1"
"WVI","KWVI","Watsonville Muni","36.9357325","-121.7896375","1"
"O54","","Lonnie Pool Fld/Weaverville","40.747225","-122.9223653","0"
"O46","","Weed","41.48080556","-122.4545278","1"
"O52","","Sutter County","39.12366667","-121.6053611","0"
"L22","","Yucca Valley","34.12983333","-116.4068889","0"
"AKO","KAKO","Colorado Plains Rgnl","40.17563889","-103.2220278","1"
"ALS","KALS","San Luis Valley Rgnl/Bergman Fld","37.435125","-105.8678753","1"
"ASE","KASE","Aspen-Pitkin County/Sardy Fld","39.22187833","-106.8682333","1"
"05V","","Blanca","37.41111917","-105.55168","0"
"BDU","KBDU","Boulder Muni","40.03936528","-105.2260896","0"
"5V4","","Calhan","39.04830556","-104.293","0"
"1V6","","Fremont County","38.42856022","-105.1068544","1"
"COS","KCOS","City of Colorado Springs Muni","38.80581667","-104.7007764","1"
"FLY","KFLY","Meadow Lake","38.94276972","-104.5699047","1"
"CEZ","KCEZ","Cortez Muni","37.3030025","-108.6280442","1"
"D17","","Westwinds","38.75847222","-108.1484722","0"
"00C","","Animas Air Park","37.20317833","-107.8691953","0"
"9V7","","Eads Muni","38.47513889","-102.8108611","0"
"EGE","KEGE","Eagle County Rgnl","39.64275","-106.9159444","1"
"EIK","KEIK","Erie Muni","40.01025","-105.0480833","1"
"GWS","KGWS","Kgws Sumers Airpark","39.506","-107.3090833","0"
"7V5","","Brush Muni","40.26436111","-103.5756389","0"
"AEJ","KAEJ","Central Colorado Rgnl","38.81419444","-106.1206111","1"
"ITR","KITR","Kit Carson County","39.24251111","-102.2853775","1"
"1V8","","Leach","37.78491667","-106.0469167","0"
"CAG","KCAG","Craig-Moffat","40.49522222","-107.5216667","1"
"99V","","Crawford","38.70415361","-107.6436694","0"
"C24","","Mineral County Meml","37.82216667","-106.9298889","0"
"RCV","KRCV","Astronaut Kent Rominger","37.71378381","-106.3520185","1"
"AJZ","KAJZ","Blake Fld","38.78560333","-108.0620136","1"
"BJC","KBJC","Rocky Mountain Metro","39.90880556","-105.1171944","1"
"APA","KAPA","Centennial","39.57011861","-104.8492931","1"
"DEN","KDEN","Denver Intl","39.86166667","-104.6731667","1"
"CFO","KCFO","Colorado Air and Space Port","39.78419444","-104.5376389","1"
"8V6","","Dove Creek","37.76475","-108.8886389","0"
"DRO","KDRO","Durango-La Plata County","37.15152778","-107.7537778","1"
"CO4","","Colorado Springs East","38.87425","-104.4098438","0"
"FNL","KFNL","Northern Colorado Rgnl","40.45181583","-105.0113256","1"
"FMM","KFMM","Fort Morgan Muni","40.33544444","-103.8041667","1"
"GNB","KGNB","Granby-Grand County","40.09005556","-105.9166389","1"
"GJT","KGJT","Grand Junction Rgnl","39.12149917","-108.5254856","1"
"GXY","KGXY","Greeley-Weld County","40.43741667","-104.6332222","1"
"11V","","Easton/Valley View","40.32735694","-104.6093944","0"
"GUC","KGUC","Gunnison-Crested Butte Rgnl","38.53433333","-106.93175","1"
"17V","","Haxtun Muni","40.62444444","-102.6079722","0"
"HDN","KHDN","Yampa Valley","40.48119444","-107.2176667","1"
"K08","","Holly","38.03512361","-102.1166708","0"
"HEQ","KHEQ","Holyoke","40.56942972","-102.2726889","1"
"20V","","Mc Elroy Airfield","40.05343417","-106.3689744","1"
"LIC","KLIC","Limon Muni","39.27477778","-103.6658611","1"
"LMO","KLMO","Vance Brand","40.16438889","-105.1636389","1"
"MVI","KMVI","Monte Vista Muni","37.52872611","-106.0458978","1"
"MTJ","KMTJ","Montrose Rgnl","38.50980556","-107.89425","1"
"PSO","KPSO","Stevens Fld","37.28624861","-107.0560089","1"
"7V2","","North Fork Valley","38.83130556","-107.6458611","0"
"PUB","KPUB","Pueblo Meml","38.2899475","-104.4980281","1"
"4V0","","Rangely","40.09397222","-108.7630556","1"
"RIL","KRIL","Rifle Garfield County","39.52660667","-107.7279869","1"
"8V7","","Springfield Muni","37.45872222","-102.618","1"
"SBS","KSBS","Steamboat Springs/Bob Adams Fld","40.51626083","-106.8663017","1"
"TAD","KTAD","Perry Stokes","37.25922361","-104.3408614","1"
"33V","","Walden-Jackson County","40.75038889","-106.2715278","1"
"4V1","","Spanish Peaks Airfield","37.69652892","-104.7849596","1"
"18V","","Platte Valley Airpark","40.10272222","-104.7011944","0"
"7V8","","Julesburg Muni","40.97025833","-102.3152736","0"
"LHX","KLHX","La Junta Muni","38.05","-103.50975","1"
"LAA","KLAA","Southeast Colorado Rgnl","38.06970389","-102.6884942","1"
"7V9","","City of Las Animas - Bent County","38.05402778","-103.2384722","0"
"07V","","Cuchara Valley At La Veta","37.52382444","-105.0092686","0"
"LXV","KLXV","Lake County","39.21947222","-106.3164167","1"
"EEO","KEEO","Meeker Coulter Fld","40.04880556","-107.8859167","1"
"AIB","KAIB","Hopkins Fld","38.23900222","-108.5628067","1"
"04V","","Saguache Muni","38.09939444","-106.1743278","0"
"ANK","KANK","Salida/Harriett Alexander Fld","38.53827778","-106.0486389","1"
"STK","KSTK","Sterling Muni","40.61429806","-103.2642611","1"
"TEX","KTEX","Telluride Rgnl","37.95380556","-107.90875","1"
"C08","","Silver West","38.01327778","-105.3742722","0"
"2V5","","Wray Muni","40.10039694","-102.2411725","1"
"2V6","","Yuma Muni","40.10571047","-102.7144377","1"
"BDR","KBDR","Bridgeport/Sikorsky","41.16348083","-73.12617583","1"
"SNC","KSNC","Chester","41.38370944","-72.50578722","1"
"7B9","","Ellington","41.92541667","-72.45711111","0"
"9B8","","Salmon River Airfield","41.58954333","-72.44230778","0"
"MMK","KMMK","Meriden Markham Muni","41.50871472","-72.82947833","1"
"OXC","KOXC","Waterbury-Oxford","41.47828056","-73.1351825","1"
"4B8","","Robertson Fld","41.68933333","-72.86469444","1"
"C44","","Toutant","41.95569444","-72.05436111","0"
"4B9","","Simsbury","41.91619444","-72.77694444","0"
"7B6","","Skylark Airpark","41.92841667","-72.57638889","0"
"N41","","Waterbury","41.63343028","-73.04677389","0"
"IJD","KIJD","Windham","41.74402778","-72.18022222","1"
"BDL","KBDL","Bradley Intl","41.93903222","-72.68431583","1"
"DCA","KDCA","Ronald Reagan Washington Ntl","38.85144028","-77.03772139","1"
"33N","","Delaware Airpark","39.21869444","-75.60047222","1"
"0N4","","Chandelle","39.20230556","-75.48541667","0"
"D74","","Chorman","38.84954861","-75.61278056","0"
"38N","","Smyrna","39.30366667","-75.58380556","0"
"ILG","KILG","New Castle","39.67870972","-75.606635","1"
"DXR","KDXR","Danbury Muni","41.37153444","-73.48218944","1"
"LZD","KLZD","Danielson","41.81975","-71.90097222","1"
"42B","","Goodspeed","41.44565444","-72.4556425","0"
"GON","KGON","Groton-New London","41.33005556","-72.04513889","1"
"HFD","KHFD","Hartford-Brainard","41.73672222","-72.64944444","1"
"HVN","KHVN","Tweed/New Haven","41.26372472","-72.88772917","1"
"11N","","Candlelight Farms","41.56916667","-73.46208333","0"
"IAD","KIAD","Washington Dulles Intl","38.94745639","-77.45992861","1"
"HEF","KHEF","Manassas Rgnl/Harry P Davis Fld","38.72102472","-77.51510472","1"
"GED","KGED","Delaware Coastal","38.68763278","-75.35930444","1"
"N06","","Laurel","38.54218444","-75.59435167","1"
"EVY","KEVY","Summit","39.52102778","-75.72366667","1"
"15N","","Jenkins","39.11733333","-75.58441667","0"
"AAF","KAAF","Apalachicola Rgnl-Cleve Randolph Fld","29.72754944","-85.0273775","1"
"F47","","St George Island","29.64458403","-84.91559894","0"
"X04","","Orlando Apopka","28.70747442","-81.5819645","1"
"X06","","Arcadia Muni","27.19531806","-81.8382275","1"
"0J8","","Flying Ten","29.61891667","-82.50877778","0"
"X10","","Belle Glade State Muni","26.69818889","-80.66024444","0"
"BKV","KBKV","Brooksville-Tampa Bay Rgnl","28.47345806","-82.456065","1"
"X05","","Pilot Country","28.33028278","-82.49648472","0"
"CDK","KCDK","George T Lewis","29.13424722","-83.05058333","0"
"CEW","KCEW","Bob Sikes","30.77883111","-86.52211278","1"
"54J","","Defuniak Springs","30.73111111","-86.15377778","1"
"DED","KDED","Deland Muni-Sidney H Taylor Fld","29.06702778","-81.28375","1"
"X35","","Marion County","29.06176722","-82.37661944","1"
"X36","","Buchan","26.99008056","-82.37401778","0"
"X55","","Mid-Florida","28.84333333","-81.63008333","0"
"X01","","Everglades Airpark","25.84886111","-81.39027778","0"
"FXE","KFXE","Fort Lauderdale Exec","26.19727936","-80.17070628","1"
"AVO","KAVO","Avon Park Exec","27.59129989","-81.52896683","1"
"BOW","KBOW","Bartow Exec","27.94335861","-81.78343722","1"
"F95","","Calhoun County","30.48703167","-85.11378583","0"
"BCT","KBCT","Boca Raton","26.37848556","-80.10769639","1"
"BCR","KBCR","Tri-County","30.84388556","-85.60174944","1"
"X13","","Carrabelle-Thompson","29.842","-84.70111111","0"
"CLW","KCLW","Clearwater Air Park","27.97721389","-82.75905694","0"
"2IS","","Airglades","26.73517083","-81.05106","1"
"CTY","KCTY","Cross City","29.63552778","-83.10475","1"
"CGC","KCGC","Crystal River-Capt Tom Davis Fld","28.86761111","-82.57411111","1"
"DAB","KDAB","Daytona Beach Intl","29.17990889","-81.05804222","1"
"DTS","KDTS","Destin Exec","30.40005472","-86.47147222","1"
"FHB","KFHB","Fernandina Beach Muni","30.61183333","-81.46119444","1"
"FLL","KFLL","Fort Lauderdale/Hollywood Intl","26.07166667","-80.14969444","1"
"FMY","KFMY","Page Fld","26.58661528","-81.86324667","1"
"RSW","KRSW","Southwest Florida Intl","26.53616389","-81.755155","1"
"FPR","KFPR","Treasure Coast Intl","27.49747222","-80.37263889","1"
"6J8","","Oak Tree Landing","29.72026389","-82.66520833","0"
"01J","","Hilliard Airpark","30.68596667","-81.90634306","0"
"HWO","KHWO","North Perry","26.00126167","-80.24069417","1"
"X51","","Miami Homestead General Aviation","25.49922694","-80.55424667","1"
"HEG","KHEG","Herlong Recreational","30.27778583","-81.80594556","1"
"JAX","KJAX","Jacksonville Intl","30.49404556","-81.68784667","0"
"VQQ","KVQQ","Cecil","30.21877778","-81.87716667","1"
"X14","","La Belle Muni","26.74058333","-81.42827778","1"
"X49","","South Lakeland","27.93335806","-82.04397389","0"
"LAL","KLAL","Lakeland Linder Intl","27.98763889","-82.019","1"
"LEE","KLEE","Leesburg Intl","28.82289806","-81.8084175","1"
"GNV","KGNV","Gainesville Rgnl","29.69005556","-82.27177778","1"
"IMM","KIMM","Immokalee Rgnl","26.43371217","-81.40047817","1"
"X58","","Indiantown","27.0375","-80.441","0"
"INF","KINF","Inverness","28.80361278","-82.31829083","1"
"CRG","KCRG","Jacksonville Exec At Craig","30.33633333","-81.51444444","1"
"42J","","Keystone Heights","29.84475","-82.04752778","1"
"EYW","KEYW","Key West Intl","24.55611972","-81.75995583","1"
"LCQ","KLCQ","Lake City Gateway","30.18205556","-82.57686111","1"
"X07","","Lake Wales Muni","27.89321083","-81.62145889","1"
"X25","","Chalet Suzanne Air Strip","27.95380556","-81.60141667","0"
"24J","","Suwannee County","30.30038889","-83.02438889","1"
"MTH","KMTH","The Florida Keys Marathon Intl","24.72619444","-81.05136111","1"
"COI","KCOI","Merritt Island","28.34159972","-80.68548472","1"
"MIA","KMIA","Miami Intl","25.79536111","-80.29011583","1"
"OPF","KOPF","Miami-Opa Locka Exec","25.90741667","-80.27822222","1"
"2R4","","Peter Prince Fld","30.6376225","-86.99365306","1"
"APF","KAPF","Naples Muni","26.15244081","-81.77563919","1"
"1J9","","Fort Walton Beach","30.40630556","-86.82919444","0"
"EVB","KEVB","New Smyrna Beach Muni","29.05569444","-80.94891667","1"
"X50","","Massey Ranch Airpark","28.97891667","-80.92477778","1"
"OCF","KOCF","Ocala Intl-Jim Taylor Fld","29.17187678","-82.22411464","1"
"MCO","KMCO","Orlando Intl","28.42938889","-81.309","1"
"SFB","KSFB","Orlando Sanford Intl","28.77717806","-81.23491361","1"
"ISM","KISM","Kissimmee Gateway","28.28980694","-81.43708139","1"
"ORL","KORL","Exec","28.54546167","-81.33293","1"
"OMN","KOMN","Ormond Beach Muni","29.30113889","-81.11380556","1"
"ECP","KECP","Northwest Florida Beaches Intl","30.35824083","-85.79560222","1"
"MKY","KMKY","Marco Island Exec","25.99502778","-81.67252778","1"
"MAI","KMAI","Marianna Muni","30.83822139","-85.18222361","1"
"MLB","KMLB","Melbourne Orlando Intl","28.10275","-80.64525","1"
"TMB","KTMB","Miami Exec","25.64756372","-80.43322461","1"
"TNT","KTNT","Dade-Collier Training and Transition","25.86180556","-80.897","1"
"OBE","KOBE","Okeechobee County","27.26657361","-80.85039111","1"
"9FD","","Citrus Hedging Ranch","27.34981","-80.7359105","0"
"PHK","KPHK","Palm Beach County Glades","26.78502778","-80.69336111","1"
"28J","","Palatka Muni/Lt Kay Larkin Fld","29.65838247","-81.68950306","1"
"FIN","KFIN","Flagler Exec","29.46515111","-81.20764833","1"
"48X","","Manatee","27.64259722","-82.51991667","0"
"2J0","","Wakulla County","29.98945556","-84.39539167","0"
"82J","","Roscoe Fld","30.39827639","-87.34900417","0"
"PNS","KPNS","Pensacola Intl","30.47341667","-87.18661111","1"
"FPY","KFPY","Perry-Foley","30.0708125","-83.58154389","1"
"2J8","","Pierson Muni","29.25002778","-81.45933333","0"
"PCM","KPCM","Plant City","28.00016667","-82.16330556","1"
"PMP","KPMP","Pompano Beach Airpark","26.24736","-80.11112722","1"
"2RR","","River Ranch Resort","27.77933333","-81.20391667","0"
"SGJ","KSGJ","Northeast Florida Rgnl","29.95925028","-81.33972917","1"
"SRQ","KSRQ","Sarasota/Bradenton Intl","27.39544444","-82.55438889","1"
"TLH","KTLH","Tallahassee Intl","30.39675417","-84.35086889","0"
"TPA","KTPA","Tampa Intl","27.97547222","-82.53325","1"
"X21","","Arthur Dunn Air Park","28.62250444","-80.835375","1"
"TIX","KTIX","Space Coast Rgnl","28.5147975","-80.79922722","1"
"X23","","Umatilla Muni","28.924735","-81.65178111","1"
"X59","","Valkaria","27.96086556","-80.55832778","1"
"F45","","North Palm Beach County General Aviation","26.84591667","-80.22233333","1"
"PBI","KPBI","Palm Beach Intl","26.68316167","-80.09559194","1"
"LNA","KLNA","Palm Beach County Park","26.59304611","-80.08506444","1"
"GIF","KGIF","Winter Haven Rgnl","28.06292028","-81.75331444","1"
"75J","","Turner County","31.68761111","-83.63294444","1"
"AHN","KAHN","Athens/Ben Epps","33.94864028","-83.32591417","1"
"FTY","KFTY","Fulton County Exec/Charlie Brown Fld","33.77912639","-84.521366","1"
"A51","","Costin","29.75854361","-85.28908472","0"
"PGD","KPGD","Punta Gorda","26.9185925","-81.99088611","1"
"F13","","Shell Creek Airpark","26.96861111","-81.91630556","0"
"2J9","","Quincy Muni","30.59788639","-84.55744028","1"
"SPG","KSPG","Albert Whitted","27.76511417","-82.62693972","1"
"PIE","KPIE","St Pete-Clearwater Intl","27.90863361","-82.68651","1"
"X26","","Sebastian Muni","27.81325","-80.49558333","1"
"SEF","KSEF","Sebring Rgnl","27.45638889","-81.34238889","1"
"SUA","KSUA","Witham Fld","27.18169917","-80.22129333","1"
"VDF","KVDF","Tampa Exec","28.01398722","-82.34525917","1"
"X39","","Tampa North Aero Park","28.22127778","-82.37455556","0"
"TPF","KTPF","Peter O Knight","27.91544444","-82.44938889","1"
"VNC","KVNC","Venice Muni","27.07126778","-82.4400325","1"
"X52","","New Hibiscus Airpark","27.632255","-80.52755444","0"
"VRB","KVRB","Vero Beach Rgnl","27.655555","-80.41795417","1"
"CHN","KCHN","Wauchula Muni","27.51491667","-81.88047222","1"
"X60","","Williston Muni","29.354605","-82.47056361","1"
"X61","","Bob White Fld","28.73527222","-81.62911667","0"
"ZPH","KZPH","Zephyrhills Muni","28.22666944","-82.15564528","1"
"15J","","Cook County","31.13675778","-83.45422333","1"
"ABY","KABY","Southwest Georgia Rgnl","31.53552778","-84.19447222","1"
"AMG","KAMG","Bacon County","31.53605778","-82.50655333","1"
"ACJ","KACJ","Jimmy Carter Rgnl","32.11080556","-84.18886111","1"
"ATL","KATL","Hartsfield/Jackson Atlanta Intl","33.63669961","-84.427864","1"
"FFC","KFFC","Atlanta Rgnl Falcon Fld","33.35772222","-84.57252778","1"
"CVC","KCVC","Covington Muni","33.6322475","-83.84661889","1"
"RYY","KRYY","Cobb County Intl/McCollum Fld","34.01316667","-84.59702778","1"
"PDK","KPDK","Dekalb-Peachtree","33.87600194","-84.30203056","1"
"DNL","KDNL","Daniel Fld","33.46658333","-82.03938889","1"
"AGS","KAGS","Augusta Rgnl At Bush Fld","33.36994444","-81.9645","1"
"BIJ","KBIJ","Early County","31.39750861","-84.89479778","1"
"BQK","KBQK","Brunswick Golden Isles","31.25903528","-81.46631639","1"
"82A","","Marion County","32.28280556","-84.50369444","0"
"CTJ","KCTJ","West Georgia Rgnl/O V Gray Fld","33.63169644","-85.15226414","1"
"VPC","KVPC","Cartersville","34.1231475","-84.84870667","1"
"4A4","","Polk County/Cornelius Moore Fld","34.01852917","-85.14475889","1"
"CKF","KCKF","Crisp County-Cordele","31.98884444","-83.77390556","1"
"AJR","KAJR","Habersham County","34.49985167","-83.55666472","1"
"9A0","","Lumpkin County-Wimpys","34.58309167","-84.01995833","0"
"PUJ","KPUJ","Paulding Northwest Atlanta","33.91204306","-84.94061944","1"
"DNN","KDNN","Dalton Muni","34.72293889","-84.87024139","1"
"16J","","Dawson Muni","31.74328806","-84.41929139","1"
"EZM","KEZM","Heart of Georgia Rgnl","32.21638889","-83.12866667","1"
"EBA","KEBA","Elbert County-Patz Fld","34.0954025","-82.8174925","1"
"49A","","Gilmer County","34.62819444","-84.52655556","1"
"GVL","KGVL","Lee Gilmer Meml","34.27262639","-83.83022611","1"
"HMP","KHMP","Atlanta Speedway","33.3899025","-84.33103694","1"
"51A","","Hawkinsville-Pulaski County","32.28366667","-83.43797222","0"
"AZE","KAZE","Hazlehurst","31.88519","-82.64789111","1"
"HOE","KHOE","Homerville","31.05688889","-82.77527778","1"
"BGE","KBGE","Decatur County Industrial Air Park","30.97159808","-84.63692781","1"
"BHC","KBHC","Baxley Muni","31.71383333","-82.39377778","1"
"DZJ","KDZJ","Blairsville","34.85443139","-83.99732","1"
"6A1","","Butler Muni","32.56823583","-84.2466875","1"
"70J","","Cairo-Grady County","30.88797222","-84.15472222","1"
"CZL","KCZL","Tom B David Fld","34.4554025","-84.93915528","1"
"CXU","KCXU","Camilla-Mitchell County","31.21316667","-84.23522222","1"
"18A","","Franklin-Hart","34.34036111","-83.13080556","1"
"CNI","KCNI","Cherokee County Rgnl","34.31221917","-84.42215278","1"
"CWV","KCWV","Claxton-Evans County","32.19505639","-81.8693175","1"
"48A","","Cochran","32.40065806","-83.27840639","1"
"CSG","KCSG","Columbus","32.5163275","-84.93887028","1"
"25J","","Lower Chattahoochee Rgnl","31.70186728","-84.82700672","0"
"17J","","Donalsonville Muni","31.00650722","-84.87763667","1"
"DQH","KDQH","Douglas Muni","31.47673861","-82.86056694","1"
"DBN","KDBN","W H 'Bud' Barron","32.56472222","-82.98497222","1"
"FZG","KFZG","Fitzgerald Muni","31.68390461","-83.27090364","1"
"3J6","","Davis Fld","30.79636111","-82.02816667","0"
"CPP","KCPP","Greene County Rgnl","33.59797","-83.13826028","1"
"6A2","","Griffin-Spalding County","33.22697222","-84.27494444","1"
"JZP","KJZP","Pickens County","34.45347222","-84.45722222","1"
"JCA","KJCA","Jackson County","34.17613889","-83.56169444","1"
"09J","","Jekyll Island","31.07447222","-81.42777778","1"
"JES","KJES","Jesup-Wayne County","31.55397222","-81.8825","1"
"9A5","","Barwick Lafayette","34.68840333","-85.29035306","1"
"LGC","KLGC","Lagrange/Callaway","33.00915083","-85.07320417","1"
"LZU","KLZU","Gwinnett County/Briscoe Fld","33.97809194","-83.96236389","1"
"MCN","KMCN","Middle Georgia Rgnl","32.69283333","-83.64922222","1"
"52A","","Madison Muni","33.612125","-83.46044444","1"
"MHP","KMHP","John Edwin Jones Sr Fld/Metter Muni","32.37397222","-82.08144444","1"
"MGR","KMGR","Moultrie Muni","31.08557944","-83.80280917","1"
"MUL","KMUL","Spence","31.13768667","-83.70405972","0"
"4J1","","Brantley County","31.20606889","-81.90598611","1"
"4J2","","Berrien County","31.21254458","-83.22525656","1"
"CCO","KCCO","Newnan Coweta County","33.31156556","-84.76975542","1"
"4J5","","Quitman Brooks County","30.80518556","-83.58906833","1"
"RVJ","KRVJ","Swinton Smith Fld At Reidsville Muni","32.05948722","-82.15357667","1"
"RMG","KRMG","Richard B Russell Rgnl - J H Towers Fld","34.35077778","-85.15866667","1"
"4J8","","Treutlen County","32.38738889","-82.56338889","0"
"TBR","KTBR","Statesboro-Bulloch County","32.48275","-81.73694444","1"
"SYV","KSYV","Sylvester","31.55715472","-83.89403639","0"
"OPN","KOPN","Thomaston-Upson County","32.95500256","-84.26408619","1"
"TVI","KTVI","Thomasville Rgnl","30.90147222","-83.88144444","1"
"HQU","KHQU","Thomson/McDuffie County","33.52973056","-82.51695278","1"
"TMA","KTMA","Henry Tift Myers","31.42955556","-83.48922222","1"
"TOC","KTOC","Toccoa Rg Letourneau Fld","34.59281167","-83.29637167","1"
"5A9","","Roosevelt Meml","32.9385","-84.69644444","0"
"5A2","","Warner Robins Air Park","32.56063889","-83.67675","0"
"IIY","KIIY","Washington/Wilkes County","33.77859806","-82.81449667","1"
"AYS","KAYS","Waycross-Ware County","31.24838889","-82.39538889","1"
"BXG","KBXG","Burke County","33.04083694","-82.00426361","1"
"65J","","Wrens Meml","33.22277778","-82.3845","0"
"2J3","","Louisville Muni","32.98594444","-82.38480556","1"
"MQW","KMQW","Telfair-Wheeler","32.09699639","-82.87941167","1"
"MAC","KMAC","Macon Downtown","32.82176444","-83.56193494","1"
"MLJ","KMLJ","Baldwin County Rgnl","33.15422556","-83.2414075","1"
"2J5","","Millen","32.89302778","-81.96522222","1"
"D73","","Cy Nunnally Meml","33.78252778","-83.69280556","1"
"53A","","Dr C P Savage Sr","32.30306333","-84.00746806","1"
"PXE","KPXE","Perry-Houston County","32.51058083","-83.76734583","1"
"PIM","KPIM","Harris County","32.84069444","-84.88244444","1"
"OKZ","KOKZ","Kaolin Fld","32.96637472","-82.83748861","1"
"SAV","KSAV","Savannah/Hilton Head Intl","32.12758333","-81.20213889","0"
"SBO","KSBO","East Georgia Rgnl","32.60913889","-82.36994444","1"
"JYL","KJYL","Plantation Airpark","32.64552278","-81.59661167","1"
"VLD","KVLD","Valdosta Rgnl","30.78146444","-83.27597167","1"
"VDI","KVDI","Vidalia Rgnl","32.19272222","-82.37116667","1"
"GA2","","Peach State Aerodrome","33.18345306","-84.37159028","0"
"WDR","KWDR","Barrow County","33.98268972","-83.66721667","1"
"HNM","PHHN","Hana","20.79563717","-156.0144379","1"
"PAK","PHPA","Port Allen","21.89694444","-159.6031667","0"
"UPP","PHUP","Upolu","20.26519444","-155.8599444","0"
"ITO","PHTO","Hilo Intl","19.720263","-155.0484701","1"
"HNL","PHNL","Daniel K Inouye Intl","21.31782472","-157.9202503","1"
"OGG","PHOG","Kahului","20.89864861","-156.4304586","1"
"KOA","PHKO","Ellison Onizuka Kona Intl At Keahole","19.738765","-156.0456311","1"
"LUP","PHLU","Kalaupapa","21.21104028","-156.9735972","1"
"MUE","PHMU","Waimea-Kohala","20.00132694","-155.6681072","1"
"JRF","PHJR","Kalaeloa (John Rodgers Fld)","21.30713417","-158.0704442","1"
"MKK","PHMK","Molokai","21.15288583","-157.0962561","1"
"4C7","","Ackley Muni","42.54744444","-93.03341667","0"
"4C8","","Albia Muni","40.99627778","-92.76569444","1"
"AXA","KAXA","Algona Muni","43.07791667","-94.27194444","1"
"K98","","Allison Muni","42.76386528","-92.80436111","0"
"C11","","Amana","41.79358333","-91.86477222","0"
"AMW","KAMW","Ames Muni","41.99204361","-93.62182083","1"
"Y43","","Anita Muni-Kevin Burke Meml Fld","41.43991111","-94.77013764","0"
"BNW","KBNW","Boone Muni","42.04955556","-93.84761111","1"
"BRL","KBRL","Southeast Iowa Rgnl","40.78297222","-91.12558333","1"
"CIN","KCIN","Arthur N Neu","42.04666667","-94.78869444","1"
"CWI","KCWI","Clinton Muni","41.83075","-90.32897222","1"
"CRZ","KCRZ","Corning Muni","40.994125","-94.75502972","1"
"OE9","","Corydon","40.75622778","-93.24033611","0"
"CBF","KCBF","Council Bluffs Muni","41.26011111","-95.75863889","1"
"CJJ","KCJJ","Ellen Church Fld","43.36530139","-92.13308306","1"
"CSQ","KCSQ","Creston Muni","41.02144444","-94.36330556","1"
"DBQ","KDBQ","Dubuque Rgnl","42.402","-90.70947222","1"
"FOD","KFOD","Fort Dodge Rgnl","42.55119444","-94.19183333","1"
"FSW","KFSW","Fort Madison Muni","40.65911111","-91.32775","1"
"GFZ","KGFZ","Greenfield Muni","41.32722222","-94.44516667","1"
"GGI","KGGI","Grinnell Rgnl","41.70988889","-92.73597222","1"
"6K7","","Grundy Center Muni","42.35055972","-92.84161389","0"
"GCT","KGCT","Guthrie County Rgnl","41.68697222","-94.43505556","1"
"6Z6","","Nash Fld Indianola","41.30385278","-93.56749028","0"
"IOW","KIOW","Iowa City Muni","41.63963194","-91.54788917","1"
"IFA","KIFA","Iowa Falls Muni","42.47135556","-93.27072306","1"
"2VA","","Zangger Vintage Airpark","43.45063078","-96.40466586","0"
"LRJ","KLRJ","Le Mars Muni","42.77855556","-96.19358333","1"
"C27","","Manchester Muni","42.49049583","-91.49787361","0"
"MEY","KMEY","James G Whiting Meml Fld","42.178295","-95.79364528","1"
"OQW","KOQW","Maquoketa Muni","42.05008333","-90.73880556","1"
"C17","","Marion","42.02981086","-91.53172231","1"
"LNY","PHNY","Lanai","20.78561111","-156.9514181","1"
"LIH","PHLI","Lihue","21.97598333","-159.3389578","1"
"IKV","KIKV","Ankeny Rgnl","41.69134681","-93.56634914","1"
"AIO","KAIO","Atlantic Muni","41.40383333","-95.04875","1"
"ADU","KADU","Audubon County","41.70152778","-94.92044444","1"
"Y46","","Bedford Muni","40.63776556","-94.72941333","0"
"TZT","KTZT","Belle Plaine Muni","41.87877778","-92.28452778","1"
"Y48","","Belmond Muni","42.85274639","-93.59465361","0"
"4K6","","Bloomfield Muni","40.73210556","-92.42826889","1"
"CID","KCID","The Eastern Iowa","41.88469444","-91.71080556","1"
"TVK","KTVK","Centerville Muni","40.68442889","-92.90099389","1"
"CNC","KCNC","Chariton Muni","41.01961111","-93.35966667","1"
"CCY","KCCY","Northeast Iowa Rgnl","43.07250375","-92.61080919","1"
"CKP","KCKP","Cherokee County Rgnl","42.73138889","-95.55605556","1"
"ICL","KICL","Schenck Fld","40.72219444","-95.02661111","1"
"CAV","KCAV","Clarion Muni","42.74047222","-93.75905556","1"
"DVN","KDVN","Davenport Muni","41.61027778","-90.58836111","1"
"DEH","KDEH","Decorah Muni","43.2755","-91.73938889","1"
"DNS","KDNS","Denison Muni","41.98613194","-95.38025889","1"
"DSM","KDSM","Des Moines Intl","41.53397278","-93.66307222","1"
"IA8","","Dyersville Area","42.49610528","-91.17985889","0"
"EAG","KEAG","Eagle Grove Muni","42.70991667","-93.91611111","1"
"I27","","Elkader","42.84725","-91.38216667","0"
"EGQ","KEGQ","Emmetsburg Muni","43.10205556","-94.70452778","1"
"EST","KEST","Estherville Muni","43.40747222","-94.74638889","1"
"FFL","KFFL","Fairfield Muni","41.05571983","-91.98082181","1"
"FXY","KFXY","Forest City Muni/Trimble Fld","43.23475692","-93.62410394","1"
"HPT","KHPT","Hampton Muni","42.72369444","-93.22633333","1"
"HNR","KHNR","Harlan Muni","41.58436111","-95.33969444","1"
